epoch,train_loss,val_loss,train_acc,val_acc,weight_norm,delta_weight_norm
1,0.6917747200831122,0.6917739897966385,0.5255887683319009,0.5151194855570793,6.556621074676514,0.5629915595054626
2,0.6873593861642091,0.6946309179067611,0.5377604167746461,0.5229319855570793,6.5390825271606445,0.4664052426815033
3,0.6834057504716127,0.6923472911119462,0.5545931461712589,0.5268382355570793,6.546872138977051,0.4352794289588928
4,0.6805941339420236,0.6940279215574264,0.560839371998673,0.5275275737047196,6.579717636108398,0.4143322706222534
5,0.6778592201678649,0.6931329905986786,0.5707276570408241,0.5236213237047196,6.620096206665039,0.3937007784843445
6,0.673475439781728,0.6939349591732025,0.5768417874756067,0.5388786762952804,6.68226957321167,0.3911730945110321
7,0.670314218039098,0.698258426785469,0.5805970715439838,0.5274356618523598,6.762472629547119,0.41933339834213257
8,0.665887646701025,0.7034879744052887,0.5882586052884227,0.5198069855570793,6.854511260986328,0.42104604840278625
9,0.6598115997469943,0.7049589097499848,0.5976373792990394,0.5389705896377563,6.958487510681152,0.42820513248443604
10,0.6560041263051655,0.7044543921947479,0.6074313106744186,0.528125,7.069577693939209,0.4271707534790039
11,0.6508319384377935,0.7153410762548447,0.6119980374756067,0.5289981618523598,7.1963958740234375,0.41791364550590515
