episode,anchor_rl_up_accuracy,anchor_rl_down_accuracy,anchor_avg_accuracy,anchor_delta,anchor_penalty
1,0.48495788206979545,0.5054151624548736,0.4951865222623345,0.0,0.0
2,0.49338146811071,0.5126353790613718,0.5030084235860409,0.007821901323706415,0.0
3,0.48856799037304455,0.5114320096269555,0.5,-0.0030084235860409203,0.0006016847172081841
4,0.4825511432009627,0.5114320096269555,0.4969915764139591,-0.0030084235860409203,0.0006016847172081841
5,0.4813477737665463,0.5114320096269555,0.49638989169675085,-0.0006016847172082285,0.0001203369434416457
6,0.48495788206979545,0.5114320096269555,0.4981949458483754,0.0018050541516245744,0.0
7,0.48856799037304455,0.5114320096269555,0.5,0.0018050541516245744,0.0
8,0.48736462093862815,0.5114320096269555,0.49939831528279177,-0.0006016847172082285,0.0001203369434416457
9,0.48856799037304455,0.5210589651022864,0.5048134777376655,0.005415162454873723,0.0
10,0.48856799037304455,0.5174488567990373,0.5030084235860409,-0.0018050541516245744,0.0003610108303249149
11,0.4861612515042118,0.516245487364621,0.5012033694344163,-0.0018050541516245744,0.0003610108303249149
12,0.49097472924187724,0.51985559566787,0.5054151624548736,0.004211793020457266,0.0
13,0.4861612515042118,0.5078219013237064,0.4969915764139591,-0.008423586040914532,0.0016847172081829065
14,0.49217809867629364,0.50661853188929,0.49939831528279177,0.002406738868832692,0.0
15,0.4681107099879663,0.5138387484957883,0.49097472924187724,-0.008423586040914532,0.0016847172081829065
16,0.48856799037304455,0.5126353790613718,0.5006016847172081,0.009626955475330878,0.0
17,0.48856799037304455,0.5114320096269555,0.5,-0.0006016847172081174,0.0001203369434416235
18,0.48495788206979545,0.49458483754512633,0.4897713598074609,-0.010228640192539107,0.0020457280385078216
19,0.48856799037304455,0.5186522262334536,0.5036101083032491,0.013838748495788256,0.0
20,0.49217809867629364,0.49578820697954273,0.49398315282791816,-0.00962695547533099,0.001925391095066198
21,0.49338146811071,0.516245487364621,0.5048134777376655,0.010830324909747335,0.0
22,0.48375451263537905,0.5222623345367028,0.5030084235860409,-0.0018050541516245744,0.0003610108303249149
23,0.48736462093862815,0.4897713598074609,0.48856799037304455,-0.014440433212996373,0.002888086642599275
24,0.4861612515042118,0.48856799037304455,0.4873646209386282,-0.001203369434416346,0.0002406738868832692
25,0.4897713598074609,0.49097472924187724,0.49037304452466907,0.003008423586040865,0.0
26,0.48856799037304455,0.49458483754512633,0.49157641395908547,0.0012033694344164014,0.0
27,0.48495788206979545,0.5126353790613718,0.49879663056558365,0.0072202166064981865,0.0
28,0.48495788206979545,0.49458483754512633,0.4897713598074609,-0.009025270758122761,0.0018050541516245523
29,0.48375451263537905,0.4969915764139591,0.49037304452466907,0.000601684717208173,0.0
30,0.4813477737665463,0.5138387484957883,0.4975932611311673,0.007220216606498242,0.0
31,0.48375451263537905,0.5186522262334536,0.5012033694344163,0.0036101083032490378,0.0
32,0.4825511432009627,0.5138387484957883,0.4981949458483755,-0.003008423586040865,0.000601684717208173
33,0.48495788206979545,0.5126353790613718,0.49879663056558365,0.000601684717208173,0.0
34,0.4825511432009627,0.5114320096269555,0.4969915764139591,-0.0018050541516245744,0.0003610108303249149
35,0.48375451263537905,0.5054151624548736,0.49458483754512633,-0.0024067388688327473,0.0004813477737665495
36,0.48495788206979545,0.5114320096269555,0.4981949458483754,0.0036101083032490933,0.0
37,0.48375451263537905,0.5138387484957883,0.49879663056558365,0.0006016847172082285,0.0
38,0.4825511432009627,0.5210589651022864,0.5018050541516246,0.0030084235860409203,0.0
39,0.4861612515042118,0.5174488567990373,0.5018050541516246,0.0,0.0
40,0.48375451263537905,0.5102286401925391,0.4969915764139591,-0.004813477737665495,0.000962695547533099
41,0.4897713598074609,0.5090252707581228,0.4993983152827918,0.0024067388688327473,0.0
42,0.4861612515042118,0.516245487364621,0.5012033694344163,0.0018050541516245189,0.0
43,0.48375451263537905,0.5174488567990373,0.5006016847172081,-0.0006016847172082285,0.0001203369434416457
44,0.48375451263537905,0.48495788206979545,0.4843561973525873,-0.016245487364620836,0.0032490974729241675
45,0.49217809867629364,0.4861612515042118,0.4891696750902527,0.004813477737665439,0.0
46,0.4861612515042118,0.48856799037304455,0.4873646209386282,-0.0018050541516245189,0.0003610108303249038
47,0.48375451263537905,0.48736462093862815,0.4855595667870036,-0.0018050541516245744,0.0003610108303249149
48,0.4789410348977136,0.48856799037304455,0.48375451263537905,-0.0018050541516245744,0.0003610108303249149
49,0.48014440433212996,0.48736462093862815,0.48375451263537905,0.0,0.0
50,0.48495788206979545,0.49097472924187724,0.4879663056558363,0.004211793020457266,0.0
