epoch,train_loss,val_loss,train_acc,val_acc,weight_norm,delta_weight_norm
1,0.6954263677963843,0.6936991184949874,0.5115151981731038,0.50234375,9.224522590637207,1.013714075088501
2,0.6845873325735659,0.6914655804634094,0.5537542091621147,0.52890625,9.207833290100098,0.777593195438385
3,0.678899171588185,0.6970507383346558,0.5561746719119313,0.50390625,9.249330520629883,0.7621208429336548
4,0.6693682402044863,0.7009710818529129,0.585524857699216,0.51953125,9.34752082824707,0.7982308864593506
5,0.6616012702931414,0.7035994440317154,0.598590924844637,0.5140625,9.486190795898438,0.842643141746521
6,0.6488892396727761,0.7050377637147903,0.6143931674433278,0.53515625,9.6683988571167,0.8642112612724304
7,0.6338936575166472,0.7174432426691055,0.6289380978751968,0.5109375,9.890884399414062,0.8943204879760742
8,0.6190857389471033,0.7371744453907013,0.6469004783001575,0.53203125,10.146828651428223,0.8852091431617737
9,0.5934455728792882,0.759543776512146,0.6775965965711154,0.53125,10.421808242797852,0.9119877815246582
10,0.5766200691789061,0.7794244676828385,0.6865584011916276,0.49609375,10.712104797363281,0.8973371982574463
11,0.550175795843313,0.8233411699533463,0.7102700720776568,0.515625,10.995142936706543,0.8647556900978088
12,0.5231885995183673,0.8590345740318298,0.7313341897922557,0.51953125,11.272687911987305,0.8302484154701233
